P_Layer,P_Hidden,FQ-EL-NEW,FQ-RP-NEW,FQ-Final-NEW,SQ-EL-NEW,SQ-RP-NEW,SQ-Final-NEW,WQ-EL-NEW,WQ-RP-NEW,WQ-Final-NEW,SQFQ-ED,SQFQ-EL,SQFQ-RP,SQFQ-Final,WQSQ-ED,WQSQ-EL,WQSQ-RP,WQSQ-Final,FQSQ-ED,FQSQ-EL,FQSQ-RP,FQSQ-Final,FQWQ-ED,FQWQ-EL,FQWQ-RP,FQWQ-Final,WQFQ-ED,WQFQ-EL,WQFQ-RP,WQFQ-Final,FQ917-Final,FQ917-ED,FQ917-EL,FQ917-RP,SQ917-Final,SQ917-ED,SQ917-EL,SQ917-RP,WQ917-Final,WQ917-ED,WQ917-EL,WQ917-RP,SQWQ-Final,SQWQ-ED,SQWQ-EL,SQWQ-RP,FQ-Final,FQ-ED,FQ-EL,FQ-RP,SQ-Final,SQ-ED,SQ-EL,SQ-RP,WQ-Final,WQ-ED,WQ-EL,WQ-RP,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,LEN,WC,DEP,TC,BS,TEN,SN,ON,OMO,CI,SQ-MINI-ED,SQ-MINI-EL,SQ-MINI-RP,SQ-MINI-Final,COLA-EVAL-MCC,MNLI-EVAL-MNLI-MM-ACC,MNLI-EVAL-MNLI-ACC,MRPC-EVAL-ACC,MRPC-EVAL-F1,QNLI-EVAL-ACC,QQP-EVAL-ACC,QQP-EVAL-F1,RTE-EVAL-ACC,SST-2-EVAL-ACC,STS-B-EVAL-PEARSON,STS-B-EVAL-SPEARMANR,WNLI-EVAL-ACC
2,128,0.563273073,0.816365366,0.360608944,0.905904059,0.95802583,0.757841328,0.745052386,0.67636787,0.33410943,27.917928,0.425784967,42.102759,16.03235014,46.141771,0.659732472,20.387454,14.21125461,46.075357,0.652398524,32.01107,18.30719557,66.034381,0.646100116,47.962747,22.00232829,24.855941,0.29923882,19.647954,4.804947669,11.0701107,49.236641,0.734317343,20.295203,41.32841328,78.33935,0.848708487,50.184502,11.43911439,57.09282,0.723247232,16.605166,32.94528522,69.579832,0.736903376,65.075669,26.68886775,44.697674,0.500475737,0.656041865,0.716281643,0.89703872,0.892101259,0.928943607,54.83119907,85.057471,0.779976717,0.856810244,0.78,0.64,0,0,0.84,0.8,0.78,0.82,0.62,0.7,0.72,0.68,0.32,0.42,0.48,0.14,0.1,0.2,0.4,0.28,0,0.3,0.42,0,0,0,0.02,0.2,0.26,0.28,0.2,0.24,0.14,0.14,0.12,0.12,0.14,0.06,0.08,0.28,0.5432,0.0531,0.2274,0.236,0.5021,0.8297,0.7121,0.6874,0.5055,0.5119,56.461001,0.78346915,58.440047,30.03492433,-0.022615695,0.715113914,0.71360163,0.745098039,0.836990596,0.79553359,0.851916893,0.813854429,0.581227437,0.809633028,0.806063996,0.817065543,0.408450704
2,256,0.612749762,0.826831589,0.403901047,0.910378229,0.963560886,0.770848708,0.768335274,0.821885914,0.478463329,31.59627,0.470504282,47.193149,19.64795433,49.840553,0.685147601,21.872694,16.00092251,53.194975,0.706688192,35.115314,20.68265683,69.43308,0.686845169,49.359721,23.16647264,27.719353,0.350142721,24.357755,7.516650809,13.28413284,53.875969,0.749077491,22.878229,44.2804428,82.417582,0.878228782,54.243542,14.39114391,64.210526,0.763837638,18.450185,35.62281723,70.734463,0.739231665,71.827707,32.6831589,51.01476,0.549952426,0.714557564,0.730575921,0.91219143,0.897726749,0.937704616,59.83701979,87.903226,0.796274738,0.88242142,0.9,0.66,0.02,0,0.88,0.82,0.88,0.9,0.74,0.86,0.9,0.74,0.42,0.44,0.48,0.14,0.18,0.22,0.36,0.34,0.02,0.44,0.58,0,0,0,0.02,0.3,0.26,0.4,0.22,0.32,0.16,0.22,0.24,0.18,0.22,0.16,0.24,0.26,0.6219,0.0784,0.2569,0.3257,0.5975,0.8448,0.7614,0.7544,0.4988,0.5011,64.658169,0.857974389,57.159488,28.63795111,0.143842011,0.73586249,0.732959755,0.737745098,0.82601626,0.815852096,0.873361365,0.83092266,0.599277978,0.818807339,0.843201199,0.84115198,0.478873239
2,512,0.638439581,0.848239772,0.466222645,0.91351476,0.968357934,0.777859779,0.759022119,0.868451688,0.591385332,35.127259,0.483349191,48.572788,20.69457659,52.613137,0.71595941,25.050738,18.1595941,51.709078,0.716605166,40.032288,23.69464945,64.724509,0.648428405,53.899884,24.91268917,26.8023,0.364414843,21.788773,6.612749762,14.7601476,41.72043,0.653136531,29.520295,46.12546125,84.249084,0.885608856,55.719557,14.7601476,64.468864,0.79704797,19.557196,43.18975553,74.727794,0.760186263,77.066356,35.77545195,53.551913,0.570884872,0.754043768,0.73689307,0.91968453,0.900078388,0.944990086,62.5145518,86.871024,0.799767171,0.903376019,0.88,0.76,0.06,0,0.94,0.9,0.9,0.9,0.8,0.74,0.96,0.66,0.66,0.34,0.48,0.2,0.12,0.24,0.4,0.46,0,0.4,0.68,0,0.08,0,0.08,0.3,0.32,0.44,0.24,0.22,0.32,0.36,0.32,0.16,0.2,0.26,0.24,0.34,0.6136,0.2006,0.2773,0.3755,0.5786,0.8447,0.7785,0.8081,0.505,0.5359,73.216374,0.877764843,77.764843,48.42840512,0.217822762,0.75630594,0.750076414,0.754901961,0.833333333,0.83269266,0.881770962,0.84084704,0.635379061,0.862385321,0.86415495,0.860578529,0.211267606
2,768,0.626070409,0.86869648,0.467649857,0.913238007,0.972001845,0.785332103,0.761350407,0.880093132,0.61233993,36.09079,0.504281637,50.951475,22.40723121,50.810959,0.72154059,25.756458,18.35793358,50.476071,0.694188192,44.063653,25.06457565,64.545455,0.642607683,54.59837,26.54249127,27.222471,0.374881066,27.640343,8.420551855,16.97416974,50.21097,0.671586716,29.889299,51.29151292,86.50647,0.900369004,62.361624,14.02214022,63.720074,0.79704797,20.295203,43.88824214,76.294591,0.769499418,76.600698,38.15413892,54.609616,0.589914367,0.785918173,0.744501314,0.92920415,0.901646147,0.951445566,62.74738068,89.791183,0.804423749,0.910360885,0.84,0.6,0.02,0,0.88,0.88,0.66,0.82,0.66,0.54,0.88,0.7,0.6,0.46,0.46,0.2,0.12,0.44,0.26,0.34,0,0.32,0.56,0,0,0,0.04,0.3,0.3,0.4,0.12,0.34,0.18,0.28,0.3,0.12,0.22,0.24,0.18,0.26,0.5963,0.2102,0.2582,0.352,0.6171,0.8528,0.7783,0.7763,0.5053,0.5103,74.956622,0.897555297,83.46915,60.76833527,0.255474837,0.763934093,0.759857361,0.781862745,0.850921273,0.827567271,0.887731882,0.848805836,0.642599278,0.876146789,0.866502248,0.862890684,0.197183099
4,128,0.587059943,0.825880114,0.3905804,0.911116236,0.959271218,0.763607011,0.757857974,0.739231665,0.374854482,30.679837,0.473358706,42.578497,17.69743102,48.873889,0.690405904,22.24631,16.28228782,54.500622,0.715175277,34.723247,21.38837638,69.928401,0.668218859,51.571595,25.61117579,23.478624,0.330637488,21.88392,6.565176023,13.65313653,52.10728,0.730627306,25.092251,43.54243542,85.239852,0.889298893,50.553506,13.65313653,57.713249,0.741697417,17.343173,33.99301513,74.364896,0.763678696,62.165308,32.54043768,49.482109,0.559467174,0.688392008,0.721399917,0.91465349,0.899755614,0.927329737,58.44004657,86.477075,0.792782305,0.854481956,0.64,0.56,0,0,0.92,0.7,0.74,0.86,0.54,0.7,0.74,0.56,0.18,0.32,0.52,0.04,0.08,0.12,0.48,0.22,0,0.18,0.36,0,0.02,0,0.04,0.18,0.2,0.28,0.2,0.2,0.06,0.2,0.08,0.08,0.2,0.16,0.08,0.12,0.55,0.0602,0.2393,0.2258,0.5311,0.8297,0.7157,0.7117,0.5119,0.5022,57.635175,0.814901048,61.001164,35.97206054,0.073395084,0.737082994,0.731023943,0.745098039,0.833865815,0.815119897,0.867870393,0.827332084,0.588447653,0.824541284,0.820266577,0.824312632,0.464788732
4,256,0.65509039,0.840152236,0.4452902,0.914990775,0.96351476,0.776476015,0.760186263,0.830034924,0.523864959,36.151838,0.509990485,44.196004,20.36156042,52.198839,0.72347786,23.690037,16.900369,57.399585,0.724169742,38.611624,23.72232472,73.099415,0.708963912,51.688009,28.05587893,28.142119,0.368220742,22.740247,7.278782112,14.02214022,61.363636,0.756457565,26.568266,43.54243542,84.132841,0.881918819,54.98155,14.02214022,68.727273,0.800738007,17.712177,35.73923166,73.580533,0.763678696,69.150175,35.49000951,54.295819,0.590865842,0.723120837,0.736016969,0.92814426,0.903905566,0.939318486,61.35040745,89.339513,0.795110594,0.876600698,0.58,0.42,0,0,0.82,0.7,0.64,0.82,0.6,0.58,0.84,0.66,0.46,0.38,0.38,0.12,0.1,0.18,0.32,0.4,0,0.28,0.44,0,0,0,0,0.18,0.2,0.2,0.34,0.3,0.2,0.2,0.18,0.12,0.12,0.04,0.1,0.22,0.5699,0.0539,0.2539,0.3495,0.6376,0.8462,0.793,0.764,0.5275,0.5227,67.623421,0.870779977,56.577416,28.75436554,0.234289388,0.771663954,0.761996943,0.791666667,0.856661046,0.831228263,0.886420975,0.84981685,0.624548736,0.849770642,0.855832315,0.855560474,0.507042254
4,512,0.661750714,0.858230257,0.477640343,0.914391144,0.970202952,0.782656827,0.766006985,0.863795111,0.610011641,37.624552,0.508563273,47.335871,21.02759277,50.313331,0.733394834,24.760148,17.9797048,59.443777,0.745433579,42.795203,26.99261993,76.363636,0.721769499,55.413271,29.45285215,29.060102,0.395813511,25.784967,8.80114177,18.4501845,60.37037,0.763837638,31.365314,48.70848708,86.029412,0.896678967,58.671587,14.7601476,66.913124,0.852398524,18.819188,43.07334109,76.71866,0.772991851,76.36787,38.20171265,55.811929,0.604186489,0.758325404,0.741873011,0.93181296,0.902798912,0.945912298,63.09662398,89.959373,0.806752037,0.903376019,0.74,0.52,0.02,0,0.88,0.76,0.76,0.76,0.46,0.56,0.9,0.72,0.36,0.34,0.58,0.2,0.1,0.22,0.44,0.38,0,0.3,0.56,0,0,0,0.04,0.22,0.22,0.26,0.16,0.28,0.24,0.16,0.16,0.08,0.22,0.08,0.14,0.18,0.5678,0.1416,0.2617,0.3882,0.6224,0.8472,0.7928,0.7744,0.5052,0.5081,74.712644,0.873108265,76.949942,52.03725262,0.307031175,0.77908869,0.777687213,0.825980392,0.880672269,0.848801025,0.890452634,0.854333169,0.61732852,0.866972477,0.868593726,0.864883039,0.267605634
4,768,0.675547098,0.870599429,0.506660324,0.915221402,0.968865314,0.784363469,0.768335274,0.880093132,0.623981374,40.357219,0.529971456,48.810657,23.02568982,51.141679,0.742804428,26.374539,18.73154982,57.47232,0.746817343,45.973247,28.35793358,72.536946,0.688009313,58.672875,30.84982538,28.475507,0.381541389,26.59372,8.991436727,19.18819188,59.557344,0.734317343,33.579336,50.92250923,88.602941,0.904059041,62.730627,14.39114391,68.274583,0.852398524,18.819188,46.56577416,77.995392,0.781140861,76.251455,41.38915319,58.680715,0.627021884,0.790675547,0.745146862,0.93688458,0.906349426,0.948125605,63.32945285,88.334301,0.809080326,0.906868452,0.46,0.38,0,0,0.46,0.46,0.46,0.48,0.46,0.34,0.74,0.62,0.3,0.4,0.4,0.02,0.04,0.32,0.34,0.34,0,0.1,0.38,0,0,0,0,0.06,0.12,0.16,0.1,0.16,0.04,0.08,0.06,0.02,0.08,0.04,0.1,0.08,0.641,0.2283,0.272,0.4347,0.6905,0.8485,0.7589,0.765,0.5196,0.5697,75.940707,0.891734575,79.511059,54.9476135,0.367721088,0.787327095,0.786041773,0.843137255,0.890784983,0.858319605,0.897180312,0.862492144,0.628158845,0.891055046,0.880418906,0.876394405,0.23943662
6,128,0.614652712,0.831113225,0.407231208,0.91351476,0.956042435,0.765590406,0.759022119,0.752037253,0.372526193,31.987394,0.470028544,44.14843,18.93434824,52.242275,0.710654982,21.535978,15.72416974,59.553855,0.731365314,35.415129,23.0304428,75.382803,0.722933644,50.873108,27.59022119,28.108273,0.364414843,19.600381,5.946717412,14.7601476,66.27907,0.79704797,23.247232,42.06642066,85.925926,0.900369004,52.398524,12.91512915,67.276051,0.819188192,18.081181,34.225844,73.544669,0.759022119,60.302678,33.25404377,54.159633,0.572312084,0.67697431,0.725918753,0.92407889,0.900816157,0.931110804,60.1862631,88.477128,0.795110594,0.862630966,0.1,0.22,0,0,0.48,0.3,0.3,0.6,0.22,0.4,0.54,0.52,0.24,0.26,0.38,0.16,0.06,0.2,0.44,0.18,0,0.16,0.14,0,0,0,0.02,0.14,0.06,0.06,0.28,0.2,0.04,0.14,0.08,0.06,0.02,0.04,0.04,0.04,0.4911,0.0383,0.227,0.2613,0.5734,0.8257,0.7328,0.7172,0.5032,0.5213,59.357061,0.817229336,58.440047,27.93946449,0.066244722,0.753254679,0.742842588,0.776960784,0.849586777,0.830313015,0.872174128,0.832142393,0.649819495,0.844036697,0.84197308,0.847498924,0.366197183
6,256,0.64605138,0.841103711,0.446717412,0.914898524,0.963422509,0.777859779,0.766006985,0.834691502,0.559953434,35.582065,0.509514748,45.480495,21.21788773,54.557898,0.742712177,24.012915,17.06642066,61.565979,0.761808118,37.795203,24.86623616,79.812756,0.759022119,53.201397,30.15133877,28.596288,0.372978116,24.16746,7.706945766,16.97416974,66.923077,0.811808118,24.354244,42.80442804,85.767098,0.896678967,52.767528,15.12915129,65.930018,0.822878229,18.819188,39.4644936,76.494486,0.776484284,70.896391,36.06089439,56.143498,0.606565176,0.726450999,0.738276387,0.9323745,0.904597224,0.939318486,60.88474971,89.495067,0.798603027,0.88242142,0.18,0.26,0,0,0.44,0.44,0.28,0.36,0.3,0.32,0.7,0.56,0.36,0.32,0.46,0.08,0.06,0.24,0.32,0.18,0,0.16,0.22,0,0,0,0.02,0.06,0.1,0.1,0.2,0.14,0.06,0.14,0.12,0.06,0.02,0,0.08,0.16,0.599,0.0687,0.2473,0.3729,0.6452,0.8407,0.7683,0.7528,0.5087,0.5247,67.954545,0.869615832,62.98021,38.88242142,0.305323696,0.771460537,0.76882323,0.852941176,0.895833333,0.835072305,0.882067771,0.844427043,0.642599278,0.878440367,0.856983889,0.856369832,0.563380282
