,P_Layer,P_Hidden,FQ-EL-NEW,FQ-RP-NEW,FQ-Final-NEW,SQ-EL-NEW,SQ-RP-NEW,SQ-Final-NEW,WQ-EL-NEW,WQ-RP-NEW,WQ-Final-NEW,SQFQ-ED,SQFQ-EL,SQFQ-RP,SQFQ-Final,WQSQ-ED,WQSQ-EL,WQSQ-RP,WQSQ-Final,FQSQ-ED,FQSQ-EL,FQSQ-RP,FQSQ-Final,FQWQ-ED,FQWQ-EL,FQWQ-RP,FQWQ-Final,WQFQ-ED,WQFQ-EL,WQFQ-RP,WQFQ-Final,FQ917-Final,FQ917-ED,FQ917-EL,FQ917-RP,SQ917-Final,SQ917-ED,SQ917-EL,SQ917-RP,WQ917-Final,WQ917-ED,WQ917-EL,WQ917-RP,SQWQ-Final,SQWQ-ED,SQWQ-EL,SQWQ-RP,FQ-Final,FQ-ED,FQ-EL,FQ-RP,SQ-Final,SQ-ED,SQ-EL,SQ-RP,WQ-Final,WQ-ED,WQ-EL,WQ-RP,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,LEN,WC,DEP,TC,BS,TEN,SN,ON,OMO,CI,SQ-MINI-ED,SQ-MINI-EL,SQ-MINI-RP,SQ-MINI-Final,COLA-EVAL-MCC,MNLI-EVAL-MNLI-MM-ACC,MNLI-EVAL-MNLI-ACC,MRPC-EVAL-ACC,MRPC-EVAL-F1,QNLI-EVAL-ACC,QQP-EVAL-ACC,QQP-EVAL-F1,RTE-EVAL-ACC,SST-2-EVAL-ACC,STS-B-EVAL-PEARSON,STS-B-EVAL-SPEARMANR,WNLI-EVAL-ACC
0,2,128,0.0,0.38990825175002075,0.0,0.0,0.14647887186320527,0.0,0.0,0.0,0.0,0.0,0.0,0.12252965149338445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08156988358155533,0.027027026399562698,0.0,0.0,0.12320339544474207,0.0,0.005681729965133481,0.0,0.0,0.24061247152010692,0.4313725498531332,0.0,0.24324324306508374,0.0,0.0,0.2765957532684477,0.0,0.0,0.0,0.0,0.21604938282406286,0.0,0.0,0.4122806931617419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378092006830724,0.011494253327520122,0.0,0.3547611425749847,0.16666665582070708,0.8666666666666667,0.8333333333333334,0.0,,0.8936170212765958,0.888888888888889,0.8636363636363636,0.911111111111111,0.7692307692307692,0.8095238095238095,0.75,0.8928571428571428,0.46875,0.8695652173913043,0.8,0.7000000000000001,0.5555555555555556,0.39999999999999997,0.8333333333333334,0.5909090909090909,0.0,0.6818181818181818,0.606060606060606,,0.0,,0.25,0.6666666666666667,0.8125,0.6363636363636365,0.5882352941176471,0.6470588235294118,0.43750000000000006,0.38888888888888895,0.375,0.6666666666666666,0.6363636363636365,0.23076923076923075,0.33333333333333337,0.823529411764706,0.3246105919003118,0.10657827638959716,0.00795228628230639,0.04882719004308289,0.0,0.10178117048346065,0.0,0.09111445783132528,0.18926553672316188,0.10650887573964524,0.0,0.0,0.2996742711112055,0.1826625387573254,0.0,0.0,0.0,0.05882352800000046,0.14296663596465065,0.0,0.8294183422068223,0.9436079327349792,0.0,0.0,0.0,0.0,0.5769230753476331
1,2,256,0.35616438385747784,0.49082568603880217,0.23155216467356882,0.3880000329536033,0.48450707528315506,0.4351851811579773,0.8333333512291705,0.7142857128832657,0.4959999977734721,0.25425678072550567,0.38842975292753273,0.5454545454545453,0.4153005469062858,0.23390079277375297,0.17316153225627576,0.22950822711987262,0.2857142861704186,0.3614294672908831,0.3993892110579565,0.1814994877310667,0.1726449886866411,0.26776549152899315,0.34234234471276737,0.08759128755820668,0.06896551701667047,0.3793405671758827,0.3614864869663074,0.568181834467975,0.4634146343589174,0.16216216216216223,0.3891288152300473,0.509803924485967,0.162790705002704,0.45945945912293595,0.3821561055429255,0.44444444277160516,0.510638278243549,0.6666666666666666,0.4056860866552322,0.26829268341046925,0.4545455441322225,0.35802469127946984,0.1372019212031056,0.052631586085876016,0.6666666792251453,0.38414634160408945,0.3731188233491589,0.3501683503828183,0.42268041103071596,0.49520767536875127,0.3483974285280731,0.3873016069723359,0.47349825569080745,0.5057471266637601,0.49435662267336344,0.7160949018461761,0.4999999934924237,1.0,0.8611111111111112,0.33333333333333337,,0.9361702127659575,0.911111111111111,0.9772727272727273,1.0,0.923076923076923,1.0,0.9375000000000001,1.0,0.6249999999999999,0.9130434782608696,0.8,0.7000000000000001,1.0,0.44999999999999996,0.75,0.7272727272727273,1.0,1.0,0.8484848484848484,,0.0,,0.25,1.0,0.8125,0.9090909090909092,0.6470588235294117,0.8823529411764707,0.5,0.6111111111111112,0.75,1.0,1.0,0.6153846153846154,1.0,0.7647058823529411,0.8149532710280377,0.23559408465068843,0.5944333996023863,0.47821924365725227,0.40509554140127396,0.4860050890585243,0.6093943139678619,0.5956325301204815,0.0,0.0,0.4133231432467373,0.6530612257419836,0.26384364565650564,0.14551083609445123,0.2857862461140428,0.21009268669919995,0.1944728731181295,0.0,0.0,0.23974081923077917,0.9102348970556589,0.963397366318504,0.1785714243316318,0.1025640925312304,0.4181955215813993,0.32570350057704944,0.7692307671301776
2,2,512,0.541095888783871,0.6972477067758605,0.5648854962240353,0.6600000086719912,0.7774648190095655,0.6697531113058224,0.5000000178958385,0.942857140613224,0.8840000007146881,0.4983281302403615,0.4999999956570249,0.6600790983433583,0.5355191256391233,0.40923137338970295,0.38309239894704644,0.7205987203391164,0.6303387343226227,0.285997476254409,0.47234475799447917,0.4689859940066611,0.3915521291904383,0.009809361872122068,0.04504504657884951,0.372262815370557,0.1724137928378834,0.29730858513922215,0.4628378400450145,0.26136363907799626,0.30894308951564703,0.27027027027027034,0.0,0.0,0.5813953209897247,0.5945945941590941,0.5537794147646862,0.5555555572283948,0.5957446771706651,0.7499999999999999,0.4204105122291934,0.4878048777263536,0.7272727720661104,0.7592592592298012,0.6117194815318273,0.5263157930429367,0.8640350725169285,0.5823170731551008,0.5229758210244779,0.49831650324926047,0.7079037822282922,0.714057530621889,0.5206819091063766,0.5492063590417163,0.7526501820941675,0.7701149423358031,0.31504536972408,0.7935235629635461,0.7727272756852621,0.9777777777777777,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.6956521739130436,0.8,1.0,0.6666666666666666,0.49999999999999994,0.8333333333333334,1.0,0.0,0.9090909090909092,1.0,,1.0,,1.0,1.0,1.0,1.0,0.7058823529411764,0.5882352941176472,1.0,1.0,1.0,0.888888888888889,0.9090909090909092,1.0,1.0,1.0,0.7632398753894085,0.858745537990821,1.0,0.7166108185734802,0.3248407643312102,0.4834605597964381,0.8207663782447471,1.0,0.1751412429378527,0.3431952662721897,0.8448507380392248,0.8265306128709913,0.840390885858736,0.6718266254141677,0.41280158004509987,0.4170957762558393,0.36642784571559417,0.13725490399999973,0.09532215087252528,0.43844492718381356,0.9419276641803109,0.9749039986618127,0.5357142828877546,0.5897435851571332,0.6541520320523608,0.5883946995049605,0.03846153835650901
3,2,768,0.45205479461915926,0.894495413551721,0.5725190830712276,0.635999987859194,1.0,0.9197530862132278,0.5833333243854207,1.0,0.9559999995601921,0.5649299552444608,0.6818181837922621,0.8577075604536863,0.7322404377547551,0.29526659716893167,0.4211187918328783,0.8296508237318588,0.6620029458490245,0.22340351922245444,0.3074312875314314,0.7046925564923913,0.49111632637735986,0.0,0.0,0.4160583964489315,0.26896551725363604,0.33489361013158997,0.537162167056337,0.9602272930849688,0.6178861790312935,0.43243243243243257,0.27180314841351977,0.09803921829104169,0.604651153996755,0.9729729729927685,0.7653107456127403,0.7777777861419776,0.9787234435129027,0.5833333333333335,0.3777319181953051,0.4878048777263536,0.9090908419008331,0.7962962961490058,0.7978980602598033,0.7368421147811655,0.8464912036141892,0.7347560979673705,0.5854490719526555,0.632996632567697,0.9381443302692463,0.9776357837437527,0.7395609827878779,0.6571428374721043,1.0,0.7931034489908441,0.8223272477877969,0.8967617925669787,0.8636363654111564,0.9333333333333332,0.7777777777777777,0.33333333333333337,,0.9361702127659575,0.9777777777777777,0.7272727272727273,0.911111111111111,0.8205128205128205,0.6190476190476191,0.9166666666666667,0.9285714285714285,0.9062499999999999,0.9565217391304348,0.7600000000000001,1.0,0.6666666666666666,1.0,0.5416666666666667,0.7272727272727273,0.0,0.7272727272727273,0.8181818181818182,,0.0,,0.5,1.0,0.9375,0.9090909090909092,0.3529411764705882,0.9411764705882354,0.5625,0.7777777777777779,0.9375,0.6666666666666666,1.0,0.923076923076923,0.75,0.7647058823529411,0.6554517133956391,0.9077001529831719,0.6202783300198806,0.6041168022977503,0.48832271762208057,0.6895674300254456,0.818294190358468,0.7605421686746985,0.18361581920903822,0.09072978303747517,0.9325986984798118,1.0,1.0,1.0,0.47744529904873917,0.4943357351967591,0.4646878200109417,0.35294117599999986,0.32444659314840596,0.3779697644067651,0.964392242376945,0.9841316722764258,0.6071428585561216,0.7435897407232093,0.680584542637958,0.6196603025236512,0.0
4,4,128,0.17123287893108463,0.48165137207760333,0.16030534518543993,0.4520000017343863,0.22253524206086106,0.1929012453587484,0.4583333288593823,0.3085714279263022,0.1399999989004802,0.1909104947274615,0.4132231382705418,0.16205539376525202,0.1912568311597182,0.17277162215871056,0.2089880592256171,0.28724162090378563,0.330633284102811,0.4277110149357062,0.46182558812940666,0.1585760449681087,0.22393563517173334,0.2949013440196473,0.19819819875594552,0.22627739880760786,0.21379310364029963,0.0,0.22297297393261523,0.2727272184400819,0.3008130082620728,0.18918918918918923,0.3325087134739328,0.41176470619492467,0.3023255769983776,0.4054054051084729,0.6466206362490339,0.6111111144567904,0.2978723674151207,0.4999999999999998,0.035362434618319366,0.12195122273646616,0.18181806983472193,0.27160493793774604,0.568597217535137,0.6052631608691144,0.3026315690327794,0.3749999999999997,0.28259275836842096,0.417508418580757,0.2336769785513874,0.17731630582813454,0.405006138975366,0.5269841368195,0.07597174620661429,0.3678160926576563,0.2466096480454565,0.6386662407288085,0.13636363458884215,0.7111111111111111,0.7222222222222223,0.0,,0.9787234042553192,0.7777777777777777,0.8181818181818181,0.9555555555555555,0.6666666666666666,0.8095238095238095,0.7708333333333334,0.6785714285714286,0.25,0.6521739130434783,0.8800000000000001,0.19999999999999998,0.4444444444444445,0.19999999999999996,1.0,0.4545454545454546,0.0,0.40909090909090906,0.515151515151515,,0.25,,0.5,0.6,0.625,0.6363636363636365,0.5882352941176471,0.5294117647058825,0.1875,0.5555555555555556,0.25,0.4444444444444445,0.9090909090909092,0.6153846153846154,0.33333333333333337,0.3529411764705882,0.3669781931464179,0.14278429372768994,0.2445328031809151,0.0,0.12314225053078565,0.10178117048346065,0.044499381953029035,0.27409638554216853,0.3700564971751414,0.010848126232741513,0.05920499474923437,0.275510207212099,0.3713354940401488,0.34055727573940137,0.1648380286875693,0.22245107526943889,0.17502559082934588,0.05882352800000046,0.1022589860716416,0.23110150352026607,0.8895413850022299,0.9592343417333201,0.07142856577551018,0.1666666573504284,0.15993277062618633,0.0979971531818276,0.7307692287736688
5,4,256,0.6609589040356305,0.6192660525689745,0.4529262099851475,0.7880000329535956,0.4816901410171053,0.6234568097431775,0.5416666711406256,0.7542857105271509,0.651999998708064,0.5691497553472594,0.7314049544782802,0.29644273470699417,0.49726776009636003,0.38303230822593254,0.4343180418384209,0.5103350093225548,0.4293078053025656,0.5748777102255348,0.5279945740999674,0.3859223597569149,0.3935635266215417,0.4686233710481772,0.513513517069151,0.23357664142042742,0.3586206896715147,0.41715771942085733,0.4898648661123999,0.3749999104261351,0.4227642277492593,0.21621621621621637,0.6288275228354545,0.5490196118023841,0.3953488460032446,0.4054054051084729,0.5428867112165248,0.5000000000000009,0.553191506536895,0.5833333333333335,0.6631259717589097,0.5121951222736472,0.27272722793388876,0.3641975305008804,0.4753933190423454,0.6052631608691144,0.5657894895475527,0.5640243899469214,0.566914645254887,0.6397306408029794,0.4845360807614705,0.6837060893250114,0.7151915498268695,0.8126984618752762,0.5353357101672613,0.6551724139973839,0.7438643949551133,0.6902853555305248,0.4242424143824597,0.6444444444444444,0.5277777777777778,0.0,,0.8723404255319149,0.7777777777777777,0.7045454545454546,0.911111111111111,0.7435897435897435,0.6666666666666666,0.875,0.8571428571428571,0.6875,0.782608695652174,0.6000000000000001,0.6,0.5555555555555556,0.3499999999999999,0.6666666666666667,0.8636363636363636,0.0,0.6363636363636365,0.6363636363636364,,0.0,,0.0,0.6,0.625,0.4545454545454546,1.0,0.8235294117647058,0.625,0.5555555555555556,0.5625,0.6666666666666666,0.5454545454545454,0.15384615384615385,0.4166666666666667,0.6470588235294117,0.4909657320872274,0.11065782763895973,0.5347912524850901,0.5921493537577788,0.5753715498938425,0.5216284987277344,1.0,0.6679216867469878,0.810734463276835,0.21301775147929047,0.5628390830394403,0.7653061243272592,0.24755700535358482,0.14860681118338526,0.44107263666235197,0.5726055531014385,0.4861821878183533,0.431372552,0.39922068763673996,0.42116630756192314,0.959451902159325,0.9853038730982342,0.4285714243316329,0.44871794255489916,0.5604323007964398,0.5205391640603371,0.8461538465739645
6,4,512,0.7089041130157858,0.7935779792629406,0.6259542016987744,0.7360000312192015,0.8901408461026046,0.8302469388793631,0.7500000089479192,0.9199999998036567,0.9479999985431363,0.6709476633638015,0.7190082618067749,0.5573123179859089,0.5737704923305202,0.2637979721711841,0.5018856081169812,0.6756950039574116,0.6016200301768998,0.6786517084372772,0.6844248378380877,0.6305285973408323,0.6312437149031335,0.6474516855208013,0.6126126087083849,0.4671532828408544,0.4413793100915195,0.4992728915711688,0.6858108139776298,0.7386363609220041,0.6829268295725679,0.5405405405405406,0.5970306258168779,0.5882352938050748,0.6976744230016224,0.7837837832097148,0.7206073968581582,0.7222222289135818,0.7659574750248991,0.7499999999999999,0.559725380554454,0.8536585393259969,0.5454544558677775,0.7530864194781437,0.8482891215795494,0.8157894826073406,0.8377193068382573,0.7378048778612133,0.6564637157072916,0.7340067348646051,0.7388316134819861,0.886581459853116,0.799543830444721,0.7365079660140599,0.7879858922614351,0.8275862069986916,0.8515447455581382,0.9483808851982861,0.7727272756852621,0.8222222222222222,0.6666666666666667,0.33333333333333337,,0.9361702127659575,0.8444444444444444,0.8409090909090909,0.8444444444444444,0.5641025641025641,0.6428571428571429,0.9375000000000001,0.9642857142857143,0.5312499999999999,0.6956521739130436,1.0,1.0,0.5555555555555556,0.44999999999999996,0.9166666666666667,0.8181818181818181,0.0,0.6818181818181818,0.8181818181818182,,0.0,,0.5,0.7333333333333334,0.6875,0.5909090909090909,0.47058823529411764,0.7647058823529412,0.75,0.4444444444444445,0.5,0.4444444444444445,1.0,0.3076923076923077,0.5833333333333334,0.5294117647058822,0.47788161993769473,0.5578786333503315,0.6898608349900597,0.7774054571565343,0.5108280254777068,0.5470737913485996,0.9975278121137209,0.7462349397590358,0.18079096045197637,0.06903353057199214,0.9202966749220353,0.785714281331633,0.8175895838385556,0.7678018576921757,0.5659608304378764,0.6477857839891994,0.6438075718314845,0.7058823520000006,0.7120235558655853,0.6285097194263348,0.9746457847928217,0.9905402326771803,0.3571428585561227,0.6410256370124919,0.7041363091262961,0.6466014809923556,0.1923076917825444
7,4,768,0.8082191784766372,0.9128440318319172,0.7811704872032191,0.8080000069375933,0.8084507295136754,0.8873457018848129,0.8333333512291705,1.0,0.9960000012094721,0.8598368732890411,0.9049586779371976,0.6798419694792921,0.8032786890330018,0.3161804196613451,0.5659962295877383,0.9251604211884847,0.7216494854742119,0.5785701235408844,0.694604682965348,0.8163430365365886,0.7304726788214787,0.4378088571984397,0.3513513509330415,0.6715328284085463,0.524137931103938,0.44697985448528443,0.5844594608989226,0.8352272035111044,0.7154471547577581,0.5945945945945948,0.5710036562081074,0.4313725498531332,0.8372092949972958,0.9459459459855369,0.9617633242653735,0.8333333433703698,1.0,0.6666666666666666,0.637324114451519,0.8536585393259969,0.5454544558677775,0.9382716051346593,1.0,1.0,0.8333333207748542,0.9420731711224717,0.825908623812158,0.8956228971241712,0.9725085920333727,1.0,0.9161526328616826,0.9809524104584924,0.8727915276936103,0.8505747126663762,0.5692417695391041,1.0,0.8181818205482085,0.5111111111111111,0.47222222222222227,0.0,,0.4893617021276596,0.5111111111111111,0.5,0.5333333333333333,0.5641025641025641,0.380952380952381,0.7708333333333334,0.7857142857142857,0.43749999999999994,0.8260869565217392,0.6400000000000001,0.09999999999999999,0.22222222222222224,0.7000000000000001,0.7083333333333334,0.7272727272727273,0.0,0.2272727272727273,0.5454545454545454,,0.0,,0.0,0.2,0.375,0.36363636363636365,0.29411764705882354,0.41176470588235303,0.125,0.22222222222222224,0.1875,0.11111111111111112,0.36363636363636365,0.15384615384615385,0.4166666666666667,0.23529411764705882,0.9339563862928345,1.0,0.8946322067594439,1.0,0.7999999999999999,0.5801526717557263,0.5784919653893705,0.6754518072289155,0.5875706214689248,0.6765285996055224,0.9822188972389397,0.9489795899584543,0.8892508067674988,0.8452012383728025,0.6701575229794511,0.731204937215238,0.7277379776346189,0.8431372560000003,0.8437655310568513,0.7408207410690544,1.0,1.0,0.46428571711224437,0.910256409253122,0.8372975845700583,0.8022613738450676,0.11538461506952666
8,6,128,0.36986301705141716,0.5321100844008917,0.24936386553415033,0.6600000086719912,0.0253521030424165,0.25925927536808346,0.5000000178958385,0.37142857128832657,0.1319999978834239,0.2812923117078024,0.384297516246397,0.2924901438632067,0.3333333337162112,0.3857790813082393,0.3469516073648714,0.17747684350315415,0.24153166428496403,0.6842398499499884,0.580929762876416,0.19902912422680938,0.343278578488609,0.5937173604952819,0.6216216226673975,0.18248175502850453,0.33103448286484666,0.4141301359943671,0.4628378400450145,0.0,0.19512195128203472,0.27027027027027034,0.7861827013068895,0.7647058814152254,0.1860464749864799,0.2972972970795468,0.7109101048114548,0.7777777861419776,0.40425532282933485,0.3333333333333333,0.5804110388791337,0.6341463450101134,0.3636363860330556,0.28395061691081414,0.4711316893944071,0.5000000113026352,0.2324561687726985,0.4207317073795956,0.5588708161734673,0.5084175120634628,0.15120274742813636,0.33386581962187734,0.6217188671176254,0.6,0.2208480735966378,0.5402298856589647,0.5940532776789733,0.6902853555305248,0.2424242349306682,0.11111111111111112,0.25,0.0,,0.5106382978723404,0.3333333333333333,0.3181818181818181,0.6666666666666666,0.25641025641025644,0.4523809523809524,0.5625000000000001,0.6071428571428571,0.34375,0.5217391304347827,0.6000000000000001,0.7999999999999999,0.3333333333333333,0.39999999999999997,0.9166666666666667,0.36363636363636365,0.0,0.36363636363636365,0.18181818181818182,,0.0,,0.25,0.46666666666666673,0.1875,0.13636363636363635,0.823529411764706,0.5294117647058825,0.125,0.38888888888888895,0.25,0.3333333333333333,0.09090909090909091,0.15384615384615385,0.16666666666666669,0.11764705882352941,0.0,0.031106578276389605,0.0,0.16993776926759205,0.3027600849256901,0.0,0.2558714462299142,0.31551204819277057,0.12429378531073336,0.1992110453648914,0.14602709401968408,0.29591836421647183,0.2996742711112055,0.12693498449706986,0.152561786491029,0.3861997947046014,0.2937564002188507,0.3137254880000002,0.3070616321058181,0.410367171773134,0.9057606248922282,0.9648115623879814,0.6785714342244898,0.38461537773570115,0.4043658891836925,0.4115286427002495,0.46153846027810647
9,6,256,0.595890414360996,0.6284403665301733,0.46055979683233983,0.7800000260159965,0.476056333555412,0.6697531113058224,0.7500000089479192,0.77714285624529,0.775999999010432,0.5297655304099608,0.7272727264830952,0.4031621059082317,0.595628416154176,0.5322127060704279,0.5653676935487447,0.5602280618635651,0.45581737811454504,0.7863859068652894,0.8048863262496153,0.3381877121992857,0.47670130745713385,0.8364095765501832,0.9009009006220277,0.3284671715914536,0.4827586208939357,0.4577839245034513,0.5236486504719687,0.5454545563119838,0.49593495954410755,0.43243243243243257,0.8067989554203322,0.8431372560480586,0.2558139740075713,0.35135135109400983,0.6960269177021458,0.7222222289135818,0.4255319369760082,0.8333333333333331,0.5036915367981545,0.6585365895574068,0.5454544558677775,0.5617283951304641,0.8216510844198114,0.8947368504335208,0.6315789414196679,0.6006097563632807,0.6760478459754334,0.7508417519140906,0.5085910654410328,0.7619808462218828,0.8124549923435287,0.8603174701528359,0.5353357101672613,0.6091954026620162,0.7708868020433329,0.7677140166478948,0.4999999934924237,0.19999999999999998,0.3055555555555556,0.0,,0.46808510638297873,0.4888888888888889,0.29545454545454547,0.39999999999999997,0.3589743589743589,0.35714285714285715,0.7291666666666666,0.6785714285714286,0.5312499999999999,0.6521739130434783,0.7600000000000001,0.39999999999999997,0.3333333333333333,0.49999999999999994,0.6666666666666667,0.36363636363636365,0.0,0.36363636363636365,0.30303030303030304,,0.0,,0.25,0.2,0.3125,0.2272727272727273,0.5882352941176471,0.3529411764705883,0.1875,0.38888888888888895,0.375,0.3333333333333333,0.09090909090909091,0.0,0.33333333333333337,0.47058823529411764,0.6722741433021807,0.18612952575216726,0.40357852882703793,0.7041646720919101,0.6076433121019107,0.3816793893129774,0.6946847960445,0.5835843373493975,0.2796610169491532,0.23274161735700252,0.5795352410887122,0.755102037059767,0.4267101046466276,0.41795665642002805,0.5630293109218706,0.5705458250482796,0.5547594723238999,0.9215686239999998,0.9095322085735731,0.4665226825944931,0.9430462312790073,0.979054764584615,0.6071428585561216,0.769230766650888,0.5733999733906742,0.531483528053237,1.0
